# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
79 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.730741 1 1.782051
80 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.726463 1 1.759494
81 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.876065 1 1.737500
82 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.864513 1 1.716049
83 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.850306 1 1.695122
84 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.791775 1 1.674699
85 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.917072 1 1.654762
86 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 31.891644 1 1.635294
87 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.339233 1 1.616279
88 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.118818 1 1.597701
89 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.481602 1 1.579545
90 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 24.664088 1 1.561798
91 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.687740 1 1.544444
92 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.587081 1 1.527473
93 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.988316 1 1.510870
