[APT-ages+] m=8 h=8 n=64 T=8 v=3 K0=64
[SpanT] window sanity check passed
[DP] L=0 states=1 -> next=1 | Kcur=64 retries=0 | pressure=0 avg/key=1 | cand=8 truncK=0 blk_oc=7 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=53 states=48 -> next=38 | Kcur=1024 retries=0 | pressure=0.0712459 avg/key=697.132 | cand=158539 truncK=6799 blk_oc=63109 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=54 states=38 -> next=28 | Kcur=1024 retries=0 | pressure=0.0468642 avg/key=683.536 | cand=113698 truncK=3199 blk_oc=45437 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=55 states=28 -> next=22 | Kcur=1024 retries=0 | pressure=0.0291446 avg/key=631 | cand=76668 truncK=1383 blk_oc=29215 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=56 states=22 -> next=15 | Kcur=1024 retries=0 | pressure=0.0149707 avg/key=626.2 | cand=51899 truncK=478 blk_oc=19970 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=57 states=15 -> next=11 | Kcur=1024 retries=0 | pressure=0 avg/key=594.909 | cand=32562 truncK=0 blk_oc=11842 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=58 states=11 -> next=7 | Kcur=1024 retries=0 | pressure=0 avg/key=548 | cand=20224 truncK=0 blk_oc=7329 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=59 states=7 -> next=5 | Kcur=1024 retries=0 | pressure=0 avg/key=410.6 | cand=10425 truncK=0 blk_oc=3171 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=60 states=5 -> next=3 | Kcur=1024 retries=0 | pressure=0 avg/key=321 | cand=4657 truncK=0 blk_oc=1285 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=61 states=3 -> next=2 | Kcur=1024 retries=0 | pressure=0 avg/key=186.5 | cand=1730 truncK=0 blk_oc=274 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=62 states=2 -> next=1 | Kcur=1024 retries=0 | pressure=0 avg/key=91 | cand=502 truncK=0 blk_oc=129 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=63 states=1 -> next=1 | Kcur=1024 retries=0 | pressure=0 avg/key=13 | cand=91 truncK=0 blk_oc=0 blk_win=0 blk_tL=0 blk_tU=0
[Verify] HPWL=472 maxΔ=18 OC=OK
[POST] maxΔ=18 > T=8
